Date,Open,High,Low,Close,Adj Close,Volume,Days
2022-07-28,1.4,1.47,1.35,1.42,1.42,8936100,406
2022-07-29,1.41,1.5,1.37,1.5,1.5,13660000,407
2022-08-01,1.485,1.55,1.44,1.54,1.54,10989300,408
2022-08-02,1.5,1.65,1.5,1.6,1.6,9257100,409
2022-08-03,1.62,1.74,1.61,1.72,1.72,12374000,410
2022-08-04,1.71,1.79,1.69,1.74,1.74,10108900,411
2022-08-05,1.67,1.84,1.63,1.79,1.79,9230700,412
2022-08-08,1.81,1.92,1.76,1.85,1.85,17027000,413
2022-08-09,1.79,1.815,1.65,1.68,1.68,11231100,414
2022-08-10,1.72,1.76,1.66,1.7,1.7,9929200,415
2022-08-11,1.76,1.87,1.64,1.66,1.66,17635900,416
2022-08-12,1.69,1.72,1.62,1.69,1.69,10957400,417
2022-08-15,1.67,1.73,1.65,1.66,1.66,11192100,418
2022-08-16,1.645,1.785,1.56,1.77,1.77,25451100,419
2022-08-17,1.73,1.74,1.58,1.59,1.59,16231400,420
2022-08-18,1.58,1.605,1.51,1.54,1.54,8789900,421
